评论日期,评论者昵称,性别,所在城市,猫眼等级,评分,评论内容
2018-10-01,青之最,1,吴江,4,4,总体不错，就是胡军和吴凯就这么领饭盒很不开心，这次张导的电影终于能一遍就看懂了。
2018-10-01,Z,2,松原,2,5,看孙俪给的10分 演技炸裂 
2018-10-01,小仙人花,2,珠海,3,5,奔着邓超夫妇去看的，果真没有让我失望！邓超的演技堪称精辟！
2018-10-01,念念柠小檬151227,2,南川,2,4.5,看够了老谋子的浓墨重彩，原来水墨丹青也可以被演绎得恰如其分。
2018-10-01,小饼子ZYB,2,深圳,3,4.5,喜欢这个风格，剧情也很精彩。
2018-10-01,蔚蓝天空,2,天津,4,2.5,有点儿小失望，画面自然是美的，孙俪的颜也是无人能及的，但就是感觉内容不充实，有点儿空
2018-10-01,白首同心,2,天津,2,5,我就已经迫不及待的想看了。
2018-10-01,nsG468604881,0,惠州,4,3.5,天啊，这是一个国家还是一个大黑帮
2018-10-01,bqnlove,0,上海,4,5,真的牛逼，老谋子
2018-10-01,紙短情長,0,海门,2,5,好看，整部片的基调都是悲闷的！！很精彩
2018-10-01,qqL976133070,0,长沙,3,5,黑白银画面
2018-10-01,天天76531,0,宁波,3,5,必须给满分，味美的画面，炸裂的演技，赞
2018-10-01,吼吼张大雨,0,武汉,3,4.5,画面感贼好，强烈推荐。
2018-10-01,算云烟,2,濮阳,2,5,**太好看了吧！！！！！！每一帧都是壁纸！！！！孙俪无敌好看了！！！！！衣服简直美爆了！！I like
2018-10-01,汪汪15923854355,0,重庆,1,5,难得的一部好影片！剧情环环相扣，每一个人都演技爆棚！水墨丹青，山水如画，服装之美！琴、萧、瑟和鸣，国乐底蕴！以舞入字，以情入武，君子之约，彰显风骨！太极、八卦、易经，阴阳之美！君臣、夫妻、兄妹、奴仆，关系都是道！
2018-10-01,任爻佾,2,鞍山,2,4.5,画面好，人物描写丰满，个性鲜明。故事情节是硬伤。
2018-10-01,Fox304539090,0,邯郸,2,5,电影还不错，历史气息浓厚，都是计谋
2018-10-01,胖犀牛2006,1,北京,2,5,可以说是张艺谋最近十年来我个人最喜欢的一部片子，选角的能力也很强，基本上全线演员演技在线，邓超孙俪这对夫妇真的是魔鬼啊，让人不服不行。
2018-10-01,ckK809590443,0,秦皇岛,1,5,邓超演的电影都不错
2018-10-01,i凉水温啊暖,0,菏泽,2,4.5,电影是好电影，拍摄题材都很好，全电影最大的败笔就是为啥要找关晓彤？！？！幸好她死的早
2018-10-01,我肚子饿啦！！！,2,东营,3,3,嗯  老谋子这部片一般
2018-10-01,希望,2,苏州,2,5,好看及了，老公都不打瞌睡
2018-10-01,Bang,1,迁安,1,5,可以可以可以
2018-10-01,李招盏,0,武汉,3,5,我太喜欢了。
2018-10-01,,2,合肥,1,5,假做真时假亦真。剧情很满，行云流水，水墨调也很喜欢，很完美
2018-10-01,HYE298698652,0,武汉,2,5,挺好看的喜欢的
